model,is_control,bio_bacc,conf_bacc,ri,mari,delta,croma,croma_f0,croma_ltm10,support
PRISM2,False,0.975,0.995,0.434125,0.367416,-0.066709,0.270389,0.187,-0.236006,0.209
PRISM,False,0.968,0.992,0.28125,0.194618,-0.086632,0.256883,0.288,-0.390497,0.101
MOOZY,False,0.971,1.0,0.235593,0.181218,-0.054376,-0.016397,0.535,-0.411612,0.243
TITAN,False,0.915,1.0,0.014537,0.001255,-0.013282,-0.295134,0.895,-0.601794,0.491
Prov-GigaPath,False,0.72,0.995,0.020238,0.006328,-0.01391,-0.412729,0.99,-0.591998,0.977
